Celsius,Farenheit,Humidity
37.0,98.6,27.140727390095
37.5,99.5,25.905385058163
38.1,100.58000000000001,23.965213082869
37.5,99.5,24.920006775989
38.0,100.4,25.703005205065
37.0,98.6,27.140727390095
36.7,98.06,26.887634665613
35.8,96.44,27.887376566387
32.9,91.22,32.986020560565
32.4,90.32,38.814372772185
31.0,87.8,49.801215223644
30.3,86.53999999999999,49.930861011811
29.4,84.91999999999999,47.850330628418
28.4,83.12,52.001032859508
,,
26.6,79.88,58.880226984905
25.8,78.44,63.699339655831
25.2,77.36,67.683628579057
25.1,77.18,72.910990549706
25.9,78.62,73.049305401739
27.9,82.22,63.756155830955
30.1,86.18,52.760680194571
32.0,89.6,44.757614694888
,,
33.5,92.3,37.900620668673
35.1,95.18,30.914313790934
36.3,97.34,28.935230683676
37.0,98.6,28.936968311979
36.9,98.41999999999999,26.940292945457
38.0,100.4,24.095492313825
37.0,98.6,25.44329672745
37.6,99.68,23.837712184561
37.5,99.5,26.924876298437
38.0,100.4,25.703005205065
37.6,99.68,22.922636174698
37.0,98.6,23.839996716196
37.0,98.6,23.839996716196
36.5,97.7,23.868196330974
35.1,95.18,26.989147686355
,,
32.5,90.5,30.010639066728
30.9,87.61999999999999,34.851323814023
30.2,86.36,51.809754292318
28.9,84.02,56.893835347271
,,
,,
24.5,76.1,73.717884167139
24.2,75.56,75.992828024011
25.6,78.08,71.656800341296
27.4,81.32,64.841260360097
,,
,,
34.3,93.74,35.788494121442
35.4,95.72,35.863254086496
36.0,96.8,32.574481984471
35.5,95.9,34.778743923213
,,
,,
36.0,96.8,34.696319806328
36.0,96.8,32.574481984471
,,
36.1,96.98,31.785293360734
35.2,95.36,32.981027787509
35.4,95.72,31.797842193825
34.3,93.74,33.798488258955
,,
31.6,88.88000000000001,37.860085101032
30.8,87.44,40.912808596884
29.5,85.1,52.938755410518
28.5,83.3,57.868536842454
27.5,81.5,61.725716501859
,,
26.0,78.8,67.004587708909
,,
24.9,76.82,72.876257404857
25.9,78.62,69.959213234449
,,
30.2,86.36,51.809754292318
32.0,89.6,43.923665681808
32.0,89.6,43.375308450872
34.3,93.74,36.937939798672
35.1,95.18,34.889444712104
36.0,96.8,32.574481984471
36.0,96.8,32.574481984471
36.8,98.24,28.883625907757
37.0,98.6,27.140727390095
38.0,100.4,27.404094092668
37.5,99.5,26.924876298437
38.0,100.4,25.703005205065
38.0,100.4,25.703005205065
39.0,102.2,24.350839831347
38.0,100.4,25.703005205065
38.3,100.94,24.96509266956
38.0,100.4,24.095492313825
38.4,101.11999999999999,23.886629397375
,,
,,
,,
34.4,93.91999999999999,30.923200333825
